parameter,parameter_value,factor_from_fitted_value,profiled_rate_scale_nm_s,objective,fitting_error,fitting_error_name,loss
desorption_ratio,353.53913906725546,251.18864315095823,348.7642045123345,2.278346472420696e-05,0.004773202774260377,training_rmse_nm_s,mse
desorption_ratio,445.07940623559955,316.22776601683796,438.77041369392947,2.284520179935066e-05,0.004779665448475516,training_rmse_nm_s,mse
desorption_ratio,560.3217747762563,398.1071705534977,552.0815135939664,2.2894354078628418e-05,0.004784804497430215,training_rmse_nm_s,mse
desorption_ratio,705.4033210474365,501.18723362727246,694.731733468963,2.2933468435293856e-05,0.004788890104741792,training_rmse_nm_s,mse
desorption_ratio,888.0501664306182,630.9573444801943,874.3177177012875,2.2964583147143e-05,0.0047921376385849975,training_rmse_nm_s,mse
desorption_ratio,1117.9889214675438,794.3282347242822,1100.4030748132463,2.298932692031192e-05,0.004794718648712552,training_rmse_nm_s,mse
desorption_ratio,1407.4646633398434,1000.0,1385.0276744944263,2.300899958674427e-05,0.004796769703325799,training_rmse_nm_s,mse
conversion_ratio,9.474635256553755e-05,0.001,2360.026108441057,8.520901028716302e-06,0.0029190582434607745,training_rmse_nm_s,mse
conversion_ratio,0.00011927859091956472,0.0012589254117941675,1874.670286839421,8.51664903187051e-06,0.002918329836031306,training_rmse_nm_s,mse
conversion_ratio,0.00015016284919164107,0.001584893192461114,1489.1384535517518,8.511297916136254e-06,0.0029174128806420687,training_rmse_nm_s,mse
conversion_ratio,0.000189043826754772,0.001995262314968879,1182.899632606557,8.50456416243015e-06,0.002916258589773916,training_rmse_nm_s,mse
conversion_ratio,0.0002379920774443966,0.0025118864315095794,939.6454900830176,8.496091467338762e-06,0.002914805562527072,training_rmse_nm_s,mse
conversion_ratio,0.0002996142741004364,0.0031622776601683794,746.4218558610828,8.485432263234487e-06,0.0029129765298118154,training_rmse_nm_s,mse
conversion_ratio,0.0003771920234013024,0.003981071705534973,592.9388668249557,8.472024667157883e-06,0.002910674263320766,training_rmse_nm_s,mse
conversion_ratio,0.0004748566233859599,0.005011872336272725,471.0229941300186,8.455163799545057e-06,0.002907776435619674,training_rmse_nm_s,mse
conversion_ratio,0.0005978090701393568,0.00630957344480193,374.1817729869597,8.433966212337727e-06,0.00290412916591837,training_rmse_nm_s,mse
conversion_ratio,0.0007525970297994782,0.007943282347242814,297.2580552368815,8.407325954484782e-06,0.0028995389210156814,training_rmse_nm_s,mse
conversion_ratio,0.0009474635256553754,0.01,236.15537240626713,8.373860603143803e-06,0.0028937623612079488,training_rmse_nm_s,mse
conversion_ratio,0.0011927859091956472,0.012589254117941675,187.61978382300728,8.33184544245831e-06,0.0028864936241845937,training_rmse_nm_s,mse
conversion_ratio,0.0015016284919164107,0.01584893192461114,149.06659241020367,8.27913395269178e-06,0.0028773484239298826,training_rmse_nm_s,mse
