equation_family,model_id,role_A,role_I,role_B,optimizer,loss,trial,objective,best_objective,best_error,best_error_name
aib_qss,"cvd:aib_qss:AIB:full:bulk_as_surface:A=idn_2,I=n2,B=adn_2",idn_2,n2,adn_2,pattern,mse,93,0.0008464693515361887,7.98451061955517e-06,0.0028256876365860347,training_rmse_nm_s
aib_qss,"cvd:aib_qss:AIB:full:bulk_as_surface:A=idn_2,I=n2,B=adn_2",idn_2,n2,adn_2,pattern,mse,94,0.0009782526558453953,7.98451061955517e-06,0.0028256876365860347,training_rmse_nm_s
aib_qss,"cvd:aib_qss:AIB:full:bulk_as_surface:A=idn_2,I=n2,B=adn_2",idn_2,n2,adn_2,pattern,mse,95,0.0009782884741822621,7.98451061955517e-06,0.0028256876365860347,training_rmse_nm_s
aib_qss,"cvd:aib_qss:AIB:full:bulk_as_surface:A=idn_2,I=n2,B=adn_2",idn_2,n2,adn_2,pattern,mse,96,0.002503526848545732,7.98451061955517e-06,0.0028256876365860347,training_rmse_nm_s
aib_qss,"cvd:aib_qss:AIB:full:bulk_as_surface:A=idn_2,I=n2,B=adn_2",idn_2,n2,adn_2,pattern,mse,97,0.0025035382960063245,7.98451061955517e-06,0.0028256876365860347,training_rmse_nm_s
aib_qss,"cvd:aib_qss:AIB:full:bulk_as_surface:A=idn_2,I=n2,B=adn_2",idn_2,n2,adn_2,pattern,mse,98,0.002593861875819032,7.98451061955517e-06,0.0028256876365860347,training_rmse_nm_s
aib_qss,"cvd:aib_qss:AIB:full:bulk_as_surface:A=idn_2,I=n2,B=adn_2",idn_2,n2,adn_2,pattern,mse,99,0.002770392494147612,7.98451061955517e-06,0.0028256876365860347,training_rmse_nm_s
aib_qss,"cvd:aib_qss:AIB:full:bulk_as_surface:A=idn_2,I=n2,B=adn_2",idn_2,n2,adn_2,pattern,mse,100,0.0027704388608130208,7.98451061955517e-06,0.0028256876365860347,training_rmse_nm_s
aib_qss,"cvd:aib_qss:AIB:full:bulk_as_surface:A=idn_2,I=n2,B=adn_2",idn_2,n2,adn_2,pattern,mse,101,2.3109111318216362e-05,7.98451061955517e-06,0.0028256876365860347,training_rmse_nm_s
aib_qss,"cvd:aib_qss:AIB:full:bulk_as_surface:A=idn_2,I=n2,B=adn_2",idn_2,n2,adn_2,pattern,mse,102,2.3104441970649272e-05,7.98451061955517e-06,0.0028256876365860347,training_rmse_nm_s
aib_qss,"cvd:aib_qss:AIB:full:bulk_as_surface:A=idn_2,I=n2,B=adn_2",idn_2,n2,adn_2,pattern,mse,103,9.400914277611559e-06,7.98451061955517e-06,0.0028256876365860347,training_rmse_nm_s
aib_qss,"cvd:aib_qss:AIB:full:bulk_as_surface:A=idn_2,I=n2,B=adn_2",idn_2,n2,adn_2,pattern,mse,104,2.470117609768761e-05,7.98451061955517e-06,0.0028256876365860347,training_rmse_nm_s
aib_qss,"cvd:aib_qss:AIB:full:bulk_as_surface:A=idn_2,I=n2,B=adn_2",idn_2,n2,adn_2,pattern,mse,105,2.470842941944596e-05,7.98451061955517e-06,0.0028256876365860347,training_rmse_nm_s
aib_qss,"cvd:aib_qss:AIB:full:bulk_as_surface:A=idn_2,I=n2,B=adn_2",idn_2,n2,adn_2,pattern,mse,106,2.3109111317672004e-05,7.98451061955517e-06,0.0028256876365860347,training_rmse_nm_s
aib_qss,"cvd:aib_qss:AIB:full:bulk_as_surface:A=idn_2,I=n2,B=adn_2",idn_2,n2,adn_2,pattern,mse,107,2.3104441970104955e-05,7.98451061955517e-06,0.0028256876365860347,training_rmse_nm_s
aib_qss,"cvd:aib_qss:AIB:full:bulk_as_surface:A=idn_2,I=n2,B=adn_2",idn_2,n2,adn_2,pattern,mse,108,9.400914277222388e-06,7.98451061955517e-06,0.0028256876365860347,training_rmse_nm_s
aib_qss,"cvd:aib_qss:AIB:full:bulk_as_surface:A=idn_2,I=n2,B=adn_2",idn_2,n2,adn_2,pattern,mse,109,2.470117609755954e-05,7.98451061955517e-06,0.0028256876365860347,training_rmse_nm_s
aib_qss,"cvd:aib_qss:AIB:full:bulk_as_surface:A=idn_2,I=n2,B=adn_2",idn_2,n2,adn_2,pattern,mse,110,2.4708429419317946e-05,7.98451061955517e-06,0.0028256876365860347,training_rmse_nm_s
aib_qss,"cvd:aib_qss:AIB:full:bulk_as_surface:A=idn_2,I=n2,B=adn_2",idn_2,n2,adn_2,pattern,mse,111,2.3109105874318127e-05,7.98451061955517e-06,0.0028256876365860347,training_rmse_nm_s
aib_qss,"cvd:aib_qss:AIB:full:bulk_as_surface:A=idn_2,I=n2,B=adn_2",idn_2,n2,adn_2,pattern,mse,112,2.310443652698011e-05,7.98451061955517e-06,0.0028256876365860347,training_rmse_nm_s
aib_qss,"cvd:aib_qss:AIB:full:bulk_as_surface:A=idn_2,I=n2,B=adn_2",idn_2,n2,adn_2,pattern,mse,113,9.400910385495168e-06,7.98451061955517e-06,0.0028256876365860347,training_rmse_nm_s
aib_qss,"cvd:aib_qss:AIB:full:bulk_as_surface:A=idn_2,I=n2,B=adn_2",idn_2,n2,adn_2,pattern,mse,114,2.4701174816789743e-05,7.98451061955517e-06,0.0028256876365860347,training_rmse_nm_s
aib_qss,"cvd:aib_qss:AIB:full:bulk_as_surface:A=idn_2,I=n2,B=adn_2",idn_2,n2,adn_2,pattern,mse,115,2.4708428139206862e-05,7.98451061955517e-06,0.0028256876365860347,training_rmse_nm_s
aib_qss,"cvd:aib_qss:AIB:full:bulk_as_surface:A=idn_2,I=n2,B=adn_2",idn_2,n2,adn_2,pattern,mse,116,2.3054736093647217e-05,7.98451061955517e-06,0.0028256876365860347,training_rmse_nm_s
aib_qss,"cvd:aib_qss:AIB:full:bulk_as_surface:A=idn_2,I=n2,B=adn_2",idn_2,n2,adn_2,pattern,mse,117,2.3050069036576234e-05,7.98451061955517e-06,0.0028256876365860347,training_rmse_nm_s
